Split,Time,Moving Time,Distance,Elevation Gain,Elevation Loss,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories,
 1,3:00.0,2:59,0.17,--,--,17:25,17:19,12:01,113,134,11,
 2,1:00.0,:54,0.05,--,--,21:31,19:21,12:39,118,127,5,
 3,3:00.0,2:55,0.21,--,10,14:11,13:47,12:19,135,155,13,
 4,1:00.0,:58,0.05,--,--,18:45,18:08,12:48,130,138,6,
 5,3:00.0,2:56,0.21,--,--,14:11,13:52,11:31,138,156,13,
 6,1:00.0,:57,0.06,--,--,16:35,15:45,14:07,131,148,5,
 7,3:00.0,2:51,0.21,--,--,14:02,13:19,11:47,135,148,15,
 8,1:00.0,:56,0.05,--,--,20:02,18:41,12:27,127,146,5,
 9,3:00.0,2:53,0.20,10,--,14:53,14:18,12:16,141,158,14,
 10,1:00.0,1:00,0.05,--,--,18:13,18:13,12:16,130,144,4,
 11,3:00.0,2:56,0.21,--,13,14:23,14:04,12:23,137,150,10,
 12,1:00.0,:58,0.06,--,--,17:15,16:40,12:40,134,139,5,
 13,3:00.0,2:53,0.21,12,--,14:20,13:46,12:30,137,145,17,
 14,1:00.0,:53,0.06,--,--,17:02,15:03,13:02,134,144,6,
 15,3:00.0,3:00,0.22,--,--,13:34,13:34,11:53,131,145,13,
 16,1:00.0,:59,0.05,--,9,18:18,17:59,13:57,132,138,5,
 17,3:00.0,2:50,0.23,--,--,13:15,12:30,10:54,131,153,10,
 18,1:00.0,1:00,0.06,--,--,16:28,16:28,13:54,134,152,5,
 19,3:00.0,2:58,0.21,--,3,14:06,13:56,13:16,140,153,12,
 20,1:00.0,:59,0.05,--,--,18:49,18:30,14:08,137,145,6,
 21,3:00.0,2:57,0.22,--,--,13:45,13:31,12:19,133,143,12,
 22,1:00.0,:59,0.06,--,--,17:01,16:43,13:59,137,144,5,
 23,3:00.0,3:00,0.23,--,--,13:15,13:15,11:00,134,147,14,
 24,1:00.0,:55,0.05,--,--,18:25,16:53,12:22,137,143,5,
 25,3:00.0,2:58,0.23,--,--,13:09,13:00,11:46,137,150,16,
 26,1:00.0,1:00,0.05,--,2,18:45,18:44,12:43,143,148,7,
 27,3:00.0,2:53,0.22,--,--,13:23,12:52,12:09,140,148,20,
 28,1:00.0,:56,0.06,--,--,17:48,16:37,10:46,139,146,6,
 29,3:00.0,2:53,0.23,3,--,13:01,12:30,11:38,137,146,15,
 30,1:00.0,1:00,0.05,--,--,18:45,18:45,12:14,139,145,6,
 31,3:00.0,2:55,0.23,--,--,13:19,12:57,11:25,143,158,15,
 32,1:00.0,:52,0.05,--,--,18:53,16:21,12:47,142,148,6,
 33,3:00.0,2:58,0.23,--,--,12:48,12:40,11:51,138,150,5,
 34,1:00.0,:50,0.05,--,--,19:28,16:13,12:51,141,148,7,
 35,3:00.0,2:59,0.21,--,11,14:22,14:17,11:55,139,147,15,
 36,1:00.0,:54,0.05,--,--,19:06,17:12,12:24,140,147,6,
 37,3:00.0,2:52,0.23,9,--,13:19,12:43,11:57,141,151,18,
 38,1:00.0,1:00,0.06,--,--,18:01,18:01,14:04,142,151,6,
 39,3:00.0,2:57,0.22,--,--,13:27,13:14,11:40,141,151,19,
 40,1:00.0,:54,0.06,--,--,17:29,15:44,12:06,145,151,7,
 41,3:00.0,2:53,0.22,--,--,13:23,12:52,10:48,137,148,16,
 42,1:00.0,:53,0.06,--,--,17:24,15:21,11:49,145,151,6,
 43,3:00.0,3:00,0.22,--,--,13:30,13:29,11:46,142,151,19,
 44,1:00.0,:57,0.05,--,--,19:10,18:12,12:41,141,149,6,
 45,3:00.0,2:57,0.21,--,--,14:06,13:52,11:31,135,149,12,
 46,1:00.0,:55,0.06,--,--,18:07,16:36,13:02,141,146,7,
 47,3:00.0,2:57,0.22,--,--,13:51,13:37,12:19,140,148,18,
 48,1:00.0,:59,0.05,--,--,18:32,18:13,11:14,143,148,6,
 49,3:00.0,2:52,0.22,--,--,13:23,12:47,11:17,141,151,13,
 50,1:00.0,:53,0.05,1,--,18:49,16:37,13:11,145,150,6,
 51,3:00.0,2:48,0.21,--,9,14:22,13:24,11:59,143,150,17,
 52,1:00.0,:53,0.05,--,--,19:36,17:19,14:13,143,151,5,
 53,3:00.0,3:00,0.21,--,--,14:02,14:01,12:21,140,148,11,
 54,1:00.0,:54,0.05,--,--,19:00,17:06,12:57,143,148,5,
 55,3:00.0,2:52,0.22,8,--,13:50,13:14,10:13,136,151,15,
 56,1:00.0,:55,0.05,--,--,18:38,17:05,14:02,144,148,6,
 57,3:00.0,2:54,0.22,--,--,13:55,13:27,11:13,142,150,6,
 58,1:00.0,:53,0.05,--,--,19:14,16:58,13:05,141,147,4,
 59,3:00.0,2:58,0.21,--,--,14:08,13:58,11:25,145,153,11,
 60,1:00.0,:54,0.05,--,--,20:25,18:22,14:45,144,152,6,
 61,3:00.0,2:59,0.21,5,--,14:29,14:23,12:17,147,154,17,
 62,1:00.0,:53,0.05,--,--,19:48,17:29,12:50,142,149,4,
 63,3:00.0,2:54,0.21,--,--,14:22,13:53,12:41,147,156,10,
 64,1:00.0,:57,0.05,--,4,19:44,18:44,12:37,146,152,4,
 65,3:00.0,2:57,0.19,--,--,16:03,15:46,13:05,148,154,18,
 66,1:00.0,:56,0.05,--,--,19:49,18:29,15:53,143,150,6,
 67,3:00.0,3:00,0.19,--,--,15:24,15:24,12:23,144,152,17,
 68,1:00.0,:59,0.05,--,--,21:24,21:03,14:36,142,149,5,
 69,3:00.0,2:56,0.19,9,--,15:31,15:10,12:16,148,156,16,
 70,1:00.0,:56,0.05,--,--,18:33,17:19,13:53,139,148,4,
 71,3:00.0,2:57,0.19,--,--,15:33,15:18,13:11,148,154,14,
 72,1:00.0,:56,0.05,--,--,21:51,20:23,14:01,142,150,6,
 73,3:00.0,2:55,0.20,--,--,14:48,14:23,12:02,147,152,15,
 74,1:00.0,1:00,0.05,--,--,21:39,21:39,13:50,142,147,6,
 75,3:00.0,2:53,0.21,--,--,14:29,13:55,11:28,150,155,17,
 76,1:00.0,:53,0.05,--,--,20:10,17:48,14:13,141,150,5,
 77,3:00.0,2:57,0.19,--,--,15:42,15:26,13:19,146,152,9,
 78,1:00.0,:58,0.05,--,--,22:01,21:17,16:22,140,150,5,
 79,3:00.0,2:56,0.20,--,--,15:23,15:02,12:41,146,152,19,
 80,1:00.0,:56,0.04,--,--,23:18,21:44,16:12,141,148,4,
 81,3:00.0,3:00,0.19,--,9,15:44,15:44,13:07,144,153,12,
 82,1:00.0,:55,0.05,--,--,20:14,18:32,12:40,139,143,5,
 83,3:00.0,2:54,0.19,6,--,15:42,15:11,11:24,143,155,15,
 84,1:00.0,:57,0.05,--,--,20:30,19:29,14:09,141,147,5,
 85,3:00.0,3:00,0.19,--,--,15:55,15:54,14:34,144,149,15,
 86,1:00.0,:57,0.05,--,--,21:33,20:28,15:37,142,148,5,
 87,3:00.0,2:56,0.19,4,--,16:01,15:40,13:29,145,154,21,
 88,1:00.0,:51,0.05,--,--,21:41,18:25,13:41,142,146,4,
 89,3:00.0,2:58,0.18,--,10,16:17,16:06,12:58,144,151,11,
 90,1:00.0,:54,0.05,--,--,19:46,17:47,16:50,139,148,4,
 91,3:00.0,2:57,0.19,--,--,15:47,15:31,13:25,141,150,5,
 92,1:00.0,:51,0.05,--,4,21:20,18:08,17:20,141,149,4,
 93,3:00.0,2:55,0.18,--,--,16:23,15:55,13:05,147,153,16,
 94,1:00.0,:58,0.05,13,--,22:08,21:23,15:48,144,150,5,
 95,3:00.0,2:55,0.20,--,--,15:13,14:48,13:09,144,152,14,
 96,1:00.0,1:00,0.05,--,--,20:57,20:57,16:04,142,149,4,
 97,3:00.0,2:56,0.20,--,13,14:51,14:31,12:53,147,152,10,
 98,1:00.0,:58,0.05,--,--,20:34,19:53,14:01,145,149,6,
 99,3:00.0,2:53,0.19,13,--,15:51,15:13,13:50,148,153,19,
 100,1:00.0,:58,0.05,--,--,19:18,18:39,16:07,143,149,5,
 101,1:43.0,1:42,0.12,--,13,14:15,14:06,12:12,151,155,5,
 Summary,3:21:43.0,3:14:57.0,13.10,106,120,15:24,14:53,10:13,140,158,976,
