Split,Time,Moving Time,Distance,Elevation Gain,Elevation Loss,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories,
 1,3:00.0,2:53,0.20,--,--,15:10,14:34,9:59,134,156,8,
 2,1:00.0,:58,0.05,--,--,18:30,17:53,14:59,116,131,4,
 3,3:00.0,2:53,0.22,--,7,13:41,13:09,11:05,124,145,10,
 4,1:00.0,1:00,0.06,--,3,16:12,16:12,12:48,137,148,6,
 5,3:00.0,2:56,0.23,--,--,13:06,12:49,10:00,147,158,23,
 6,1:00.0,:57,0.07,--,--,13:31,12:50,11:03,128,140,7,
 7,3:00.0,2:57,0.21,--,--,14:09,13:55,10:09,149,159,20,
 8,1:00.0,1:00,0.06,--,--,17:22,17:21,13:59,130,143,8,
 9,3:00.0,2:55,0.23,8,--,13:12,12:50,10:18,140,156,22,
 10,1:00.0,:59,0.06,--,--,16:21,16:05,12:55,131,147,7,
 11,3:00.0,2:52,0.22,--,11,13:50,13:13,10:12,139,146,22,
 12,1:00.0,:58,0.06,13,--,17:14,16:39,14:04,140,146,8,
 13,3:00.0,3:00,0.23,--,--,13:03,13:03,11:06,138,148,22,
 14,1:00.0,:57,0.06,--,--,16:30,15:40,12:39,136,149,5,
 15,3:00.0,2:56,0.23,--,10,13:04,12:46,11:16,130,143,3,
 16,1:00.0,1:00,0.06,--,--,16:03,16:03,11:26,126,132,1,
 17,3:00.0,2:58,0.22,--,--,13:39,13:29,11:41,130,138,3,
 18,1:00.0,:57,0.06,--,--,17:46,16:53,14:52,126,130,1,
 19,3:00.0,2:59,0.21,--,3,14:09,14:04,11:53,117,128,2,
 20,1:00.0,:53,0.05,--,--,18:12,16:04,15:09,121,130,2,
 21,3:00.0,2:58,0.23,6,--,12:51,12:42,9:22,126,134,16,
 22,1:00.0,:56,0.06,--,--,18:05,16:53,13:29,126,134,2,
 23,3:00.0,2:56,0.21,--,--,13:58,13:39,11:00,115,134,4,
 24,1:00.0,:58,0.06,11,--,16:24,15:51,13:07,96,105,1,
 25,3:00.0,2:57,0.23,--,--,13:16,13:02,11:40,100,109,3,
 26,1:00.0,:54,0.06,--,--,17:37,15:51,13:57,101,112,1,
 27,3:00.0,2:58,0.22,--,3,13:49,13:40,12:15,129,138,3,
 28,1:00.0,:55,0.06,--,--,18:08,16:37,13:23,107,118,1,
 29,3:00.0,2:59,0.22,--,--,13:53,13:48,10:37,123,136,15,
 30,1:00.0,:58,0.05,--,--,20:41,19:59,14:11,115,125,3,
 31,3:00.0,2:58,0.21,--,9,14:37,14:27,11:54,110,128,5,
 32,1:00.0,:59,0.05,9,--,18:39,18:20,15:13,119,127,1,
 33,3:00.0,2:57,0.22,--,--,13:50,13:37,9:16,107,123,4,
 34,1:00.0,:59,0.05,--,--,19:51,19:31,13:54,104,116,5,
 35,3:00.0,2:56,0.21,--,--,13:59,13:40,11:40,112,121,8,
 36,1:00.0,1:00,0.05,9,--,19:36,19:36,13:43,106,118,1,
 37,3:00.0,2:59,0.23,--,12,13:02,12:57,10:31,110,125,3,
 38,1:00.0,:59,0.05,--,--,19:25,19:06,11:35,110,117,1,
 39,3:00.0,2:57,0.22,--,--,13:33,13:19,11:40,103,115,2,
 40,1:00.0,:59,0.06,--,--,17:51,17:33,12:24,101,115,1,
 41,3:00.0,2:58,0.23,--,7,13:08,12:59,11:19,108,126,7,
 42,1:00.0,:59,0.06,--,--,17:41,17:23,11:14,119,128,1,
 43,3:00.0,2:55,0.21,4,--,14:07,13:43,12:09,109,128,2,
 44,1:00.0,:56,0.05,--,--,19:07,17:50,14:41,99,104,1,
 45,3:00.0,2:59,0.22,--,7,13:52,13:47,12:11,108,126,6,
 46,1:00.0,:57,0.05,--,--,20:16,19:15,13:32,97,103,0,
 47,3:00.0,3:01,0.21,--,--,14:13,14:18,12:37,112,128,3,
 48,1:00.0,:59,0.06,--,--,18:07,17:49,13:45,99,106,0,
 49,3:00.0,2:56,0.20,12,--,14:44,14:24,12:23,115,133,9,
 50,1:00.0,:59,0.05,--,--,18:35,18:16,13:51,118,131,1,
 51,1:40.1,1:35,0.13,--,--,13:05,12:25,11:27,129,142,2,
 Summary,1:41:40.1,1:39:24.0,7.00,71,72,14:32,14:12,9:16,120,159,296,
