Split,Time,Moving Time,Distance,Elevation Gain,Elevation Loss,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories,
 1,3:00.0,2:57,0.21,--,--,14:17,14:03,12:29,112,127,12,
 2,1:00.0,:52,0.05,--,--,19:49,17:10,13:06,119,128,6,
 3,3:00.0,2:55,0.22,--,12,13:24,13:02,11:32,126,137,17,
 4,1:00.0,:57,0.06,--,--,17:41,16:48,13:44,128,137,7,
 5,3:00.0,2:55,0.22,--,--,13:25,13:02,11:29,130,139,19,
 6,1:00.0,:54,0.06,2,--,17:37,15:51,12:28,130,139,6,
 7,3:00.0,3:01,0.21,--,--,14:12,14:16,12:00,129,135,19,
 8,1:00.0,:59,0.05,--,--,18:23,18:04,14:04,131,137,7,
 9,3:00.0,2:59,0.21,10,--,14:00,13:55,11:47,132,142,19,
 10,1:00.0,:53,0.06,--,13,16:50,14:52,11:48,130,137,5,
 11,3:00.0,3:00,0.20,13,--,14:46,14:46,12:06,134,145,19,
 12,1:00.0,:56,0.06,--,--,15:44,14:41,13:16,137,143,8,
 13,3:00.0,2:56,0.23,--,--,13:14,12:56,12:04,134,143,17,
 14,1:00.0,1:00,0.06,--,--,16:31,16:31,12:40,136,143,6,
 15,3:00.0,2:59,0.23,--,10,13:11,13:07,12:10,141,152,18,
 16,1:00.0,:59,0.06,--,--,17:18,17:00,13:22,134,143,6,
 17,3:00.0,2:57,0.22,--,--,13:36,13:22,11:41,135,144,18,
 18,1:00.0,1:00,0.05,--,--,19:14,19:14,14:21,136,142,4,
 19,3:00.0,2:56,0.22,--,3,13:55,13:36,12:26,137,143,16,
 20,1:00.0,1:00,0.06,--,--,17:18,17:17,13:32,139,144,6,
 21,3:00.0,2:56,0.22,6,--,13:21,13:03,11:00,140,149,21,
 22,1:00.0,1:00,0.05,--,--,19:36,19:36,14:13,140,149,7,
 23,3:00.0,2:57,0.23,5,--,13:09,12:56,11:14,138,146,18,
 24,1:00.0,:58,0.06,--,--,17:13,16:38,12:32,140,146,6,
 25,3:00.0,2:59,0.23,--,--,13:13,13:09,11:16,142,150,21,
 26,1:00.0,1:00,0.05,--,--,21:03,21:03,12:30,142,149,6,
 27,3:00.0,2:50,0.24,--,--,12:42,11:59,11:21,142,149,20,
 28,1:00.0,:56,0.06,--,--,18:01,16:49,13:09,143,149,7,
 29,3:00.0,2:55,0.23,--,--,13:17,12:55,10:54,143,149,20,
 30,1:00.0,:52,0.05,--,--,18:35,16:06,12:44,144,150,6,
 31,3:00.0,3:00,0.23,5,--,13:05,13:05,11:35,144,151,18,
 32,1:00.0,:53,0.05,--,--,18:32,16:22,13:27,141,150,5,
 33,3:00.0,2:58,0.24,--,--,12:45,12:37,10:58,141,150,19,
 34,1:00.0,:52,0.05,--,11,21:02,18:14,16:20,145,151,6,
 35,3:00.0,2:55,0.22,--,--,13:43,13:20,12:33,143,150,19,
 36,1:00.0,:55,0.05,--,--,19:17,17:40,13:18,143,150,6,
 37,3:00.0,3:00,0.23,5,--,12:58,12:58,10:51,143,152,20,
 38,1:00.0,:59,0.05,--,--,18:49,18:31,12:46,143,148,7,
 39,3:00.0,2:58,0.22,--,--,13:42,13:32,12:08,144,152,20,
 40,1:00.0,:56,0.05,7,--,19:21,18:03,13:07,142,147,7,
 41,3:00.0,2:59,0.22,--,--,13:29,13:24,11:27,142,150,18,
 42,1:00.0,:58,0.05,--,6,18:17,17:40,14:23,139,141,6,
 43,3:00.0,2:57,0.22,--,--,13:24,13:11,11:30,138,150,16,
 44,1:00.0,:54,0.05,--,--,20:02,18:01,14:10,144,149,5,
 45,3:00.0,2:55,0.22,7,--,13:23,13:01,12:00,136,147,20,
 46,1:00.0,:56,0.05,--,--,19:43,18:24,13:46,142,149,5,
 47,3:00.0,2:56,0.22,--,5,13:22,13:04,11:35,146,158,12,
 48,1:00.0,:50,0.05,--,--,20:11,16:49,13:00,146,154,6,
 49,3:00.0,2:59,0.21,--,7,14:31,14:26,12:34,145,152,15,
 50,1:00.0,:59,0.05,--,--,18:40,18:21,13:22,146,150,6,
 51,3:00.0,3:00,0.21,5,--,13:58,13:58,11:39,143,153,20,
 52,1:00.0,:53,0.05,--,--,20:11,17:50,13:25,141,145,5,
 53,3:00.0,2:58,0.22,2,--,13:49,13:39,11:38,135,151,12,
 54,1:00.0,:58,0.05,--,--,21:46,21:03,14:18,145,151,6,
 55,3:00.0,2:59,0.21,--,--,14:22,14:18,12:36,142,150,18,
 56,1:00.0,:58,0.05,--,--,19:57,19:17,13:28,142,148,6,
 57,3:00.0,2:53,0.20,--,--,14:45,14:10,12:41,147,160,15,
 58,1:00.0,:57,0.05,12,--,19:47,18:47,13:41,148,158,6,
 59,3:00.0,2:54,0.20,--,--,14:41,14:12,12:18,145,157,13,
 60,1:00.0,:53,0.05,--,9,19:04,16:50,13:39,142,148,6,
 61,3:00.0,2:55,0.22,--,8,13:53,13:29,12:39,132,146,10,
 62,1:00.0,:56,0.07,13,--,14:40,13:41,13:42,153,163,1,
 63,:10.0,:06,0.01,--,--,12:52,7:43,13:01,152,152,0,
 Summary,2:04:10.0,2:00:37.0,8.50,93,93,14:36,14:11,10:51,138,163,721,
